move,accuracy
0,0.059309021113243765
1,0.05508637236084453
2,0.053358925143953934
3,0.052207293666026874
4,0.050287907869481764
5,0.054318618042226485
6,0.05182341650671785
7,0.05105566218809981
8,0.05259117082533589
9,0.05356114417354579
10,0.05586484929928969
11,0.05682472643501632
12,0.05779569892473118
13,0.05915114269252929
14,0.05859750240153699
15,0.05573707476455891
16,0.05714835482008851
17,0.05772200772200772
18,0.05515773175924134
19,0.05539358600583091
20,0.05190989226248776
21,0.05554457402648745
22,0.05923836389280677
23,0.06203627370156636
24,0.0579647917561185
25,0.053575482406356414
26,0.053108174253548704
27,0.05705944798301486
28,0.061177152797912436
29,0.048
30,0.05115452930728242
31,0.045636509207365894
32,0.040467625899280574
33,0.04314329738058552
34,0.03882915173237754
35,0.03529411764705882
36,0.0575831305758313
37,0.04664723032069971
38,0.05052878965922444
39,0.04850213980028531
40,0.06204379562043796
41,0.06697459584295612
42,0.06382978723404255
43,0.05761316872427984
44,0.08928571428571429
45,0.13274336283185842
46,0.1506849315068493
47,0.2571428571428571
48,0.3076923076923077
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
