move,accuracy
0,0.6333333333333333
1,0.6666666666666666
2,0.5666666666666667
3,0.5666666666666667
4,0.5333333333333333
5,0.5333333333333333
6,0.5666666666666667
7,0.5333333333333333
8,0.5
9,0.5666666666666667
10,0.5
11,0.4666666666666667
12,0.4666666666666667
13,0.5
14,0.5
15,0.43333333333333335
16,0.3
17,0.23333333333333334
18,0.3
19,0.3333333333333333
20,0.3
21,0.36666666666666664
22,0.3333333333333333
23,0.26666666666666666
24,0.3
25,0.23333333333333334
26,0.26666666666666666
27,0.36666666666666664
28,0.26666666666666666
29,0.3
30,0.4666666666666667
31,0.43333333333333335
32,0.36666666666666664
33,0.36666666666666664
34,0.36666666666666664
35,0.3333333333333333
36,0.4
37,0.36666666666666664
38,0.4
39,0.4
40,0.4
41,0.23333333333333334
42,0.3333333333333333
43,0.2857142857142857
44,0.3333333333333333
45,0.2222222222222222
46,0.28
47,0.5
48,0.3333333333333333
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
